Case Name,Status,Progress,Summary,State,Bill Information Link,Last Activity Date,Representatives to Contact,Sponsors,Category,Yea Votes,Nay Votes
AZ SB1694,Active,Veto Override Vote,"This bill prohibits institutions of higher learning from providing any courses on diversity, equity, and inclusion (DEI). Included in the list of prohibited topics includes gender identity, gender-based diversity, and gender-based inclusion.",Arizona,https://legiscan.com/AZ/bill/SB1694/2025,5/2/2025,,David Farnsworth,"Educational Censorship,Student Suppression",,
CA AB600,Active,Introduced,"This bill allows legal guardians to exempt children in public and charter schools from instruction in ""transgender concepts"" and gives them the right to sue the school otherwise.",California,https://legiscan.com/CA/bill/AB600/2025,2/14/2025,,Leticia Castillo,Educational Censorship,,
CO HB1254,Active,House Committee,"This bill would increase the liability for any medical practitioner who provides or prescribes treatments to patients for any transition-related care to patients under 25. This includes puberty blockers, surgeries, and hormone replacement therapy. Patients can sue for any potential or perceived damages up until age 38. This can cause many providers to refuse service due to the open-ended and long-term risk to their practice. If any given section of this bill is found to be illegal, the rest of the bill remains in effect. This bill goes into effect immediately upon signing.",Colorado,https://legiscan.com/CO/bill/HB1254/2025,2/18/2025,,"Kenneth DeGraaf, Brandi Bradley, Ron Weinberg",Health Care,,
CT HB05125,Active,Joint Committee,"This bill has two components. First, it bans ""males"" from competing in women's sports and it prohibits people from entering bathrooms and changing rooms that do not correspond to their sex assigned at birth in schools or athletic events. In this bill, ""sex"" or any other similar term is not defined.",Connecticut,https://legiscan.com/CT/bill/HB05125/2025,1/14/2025,,Brian Lanoue,"Sports,Bathrooms",,
CT HB05336,Active,Joint Committee,"This bill prohibits courts interfering with a parent's right to raise a minor consistent with the minor's ""biological sex"", prohibits ""gender reassignment surgery"" or puberty-blocking drugs to minors, prohibits mental health treatment related to gender transition of minors without parental consent, and prohibits Medicaid assistance for any gender transitions surgeries. Lastly, it requires schools and higher education institutions to designate separate athletic teams for each sex.",Connecticut,https://legiscan.com/CT/bill/HB05336/2025,1/16/2025,,Anne Dauphinais,"Health Care,Sports",,
CT HB05789,Active,Joint Committee,"This bill directs public and private schools as well as colleges/universities to classify all interscholastic competitive sports teams as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by chromosomes, genitalia, and specific testosterone levels. ",Connecticut,https://legiscan.com/CT/bill/HB05789/2025,1/21/2025,,Tom O'Dea,Sports,,
CT HB05876,Active,Joint Committee,This bill prohibits any board of education or school administor from preventing a teacher from informing the legal guardians of a minor if that minor’s gender identity does not match their sex assigned at birth.,Connecticut,https://legiscan.com/CT/bill/HB05876/2025,1/22/2025,,"Anne Dauphinais, Gale L. Mastrofrancesco",Student Suppression,,
CT HB05894,Active,Joint Committee,"This bill bans students whose ""biological sex"" is male from participating in college and high school sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by birth certificate/sex assigned at time of birth. This bill also prohibits students from entering public bathrooms and changing rooms that do not correspond to their sex assigned at birth.",Connecticut,https://legiscan.com/CT/bill/HB05894/2025,1/22/2025,,Joe Hoxha,"Sports,Bathrooms",,
CT HB06178,Active,Joint Committee,This bill states that a child may not be removed from the custody of a parent or guardian solely on the basis of the parent/guardian refusing to consent to gender-affirming care and continuing to raise the child in accordance with the child's assigned sex at birth. ,Connecticut,https://legiscan.com/CT/bill/HB06178/2025,1/22/2025,,"Anne Dauphinais, Mark W Anderson",Other,,
CT SB00036,Active,Joint Committee,"This bill prohibits a public school instruction from teaching or discussing gender and sexual orientation from kindergarten to third grade. Mandates that discussions of these same topics in grades above this is ""age appropriate"" and ""developmentally appropriate.""",Connecticut,https://legiscan.com/CT/bill/SB00036/2025,1/8/2025,,Rob Sampson,Educational Censorship,,
CT SB00136,Active,Joint Committee,This bill prohibits the state or any political subdivision require an individual or entity to use specific pronouns.,Connecticut,https://legiscan.com/CT/bill/SB00136/2025,1/8/2025,,Rob Sampson,Other,,
CT SB00504,Active,Joint Committee,This bill states that students and educators may not be required to nor deadname or misgender any trans people in public schools. ,Connecticut,https://legiscan.com/CT/bill/SB00504/2025,1/13/2025,,Rob Sampson,Student Suppression,,
CT SB00690,Active,Joint Committee,This bill provides civil immunity for interscholastic athletic organizations and their sanctioning bodies when they adopt policies that require an athlete to compete on a team that matches the gender identity on the athlete's birth certificate.,Connecticut,https://legiscan.com/CT/bill/SB00690/2025,1/16/2025,,Rob Sampson,Sports,,
DE SB55,Active,Senate Committee,"This bill mandates that no health care professional shall be allowed to provide or prescribe treatments to children for any transition-related care, or refer children to other providers for transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill specifically allows an exception for ""corrective"" procedures, including for intersex traits. Violations are considered unprofessional conduct by a medical professional and subject to disciplinary action and possible lawsuits. This bill also prevents public funds from being given to any organization or that provides trans health care to minors in any capacity or being used in any way for that purpose. It prevents health insurance companies from paying for trans health care treatments for any minor. ",Delaware,https://legiscan.com/DE/bill/SB55/2025,2/20/2025,,"Bryant Richardson, Jeff Hilovsky, Gerald Hocker, David Lawson, David Wilson, Richard Collins, Ronald Gray, Shannon Morris, Bryan Shupe, Lyndon Yearick",Health Care,,
FL S0440,Active,Senate Committee,"This bill states that employees and contractors may not be required as a condition of their employment to use personal pronouns or titles for another person that ""do not correspond to that person's sex,"" provide their own personal titles or pronouns, or face adverse personnel action as a result of their refusal to do so. This bill requires job applications, if gender/sex is asked, to have a ""biological sex"" designation that is either male or female, with non-binary designations being banned. This bill prohibits public employers from holding any education, trainings, or activities around gender identity or gender expression.",Florida,https://legiscan.com/FL/bill/S0440/2025,3/26/2025,,Stan McClain,"Documents,Other",,
FL S1692,Active,Senate Committee,"Amends a prior book ban law. This bill prohibits schools from keeping material that is considered ""harmful to minors"" within their collection. Material is considered ""harmful to minors"" if the average person would consider that it appeals to ""prurient, shameful, or morbid interest"" and/or is patently offensive to prevailing standards in the adult community as a whole with respect to what is suitable material or conduct for minors. This could be used to apply to queer and trans content. The ammendment specifies that the State Board of Education should enforce/monitor compliance with the requirements through ""regular audits and reporting."" The material in question must be removed within 5 days, and must remain unavailable for the length of the determination period. School boards may not consider potential literary, artistic, political, or scientific value as a basis for retaining the material. The penalty for noncompliance is withholding of state funds, and the ammendment further permits imposing additional sanctions or requirements as conditions for the continued receipt of state funds.",Florida,https://legiscan.com/FL/bill/S1692/2025,3/26/2025,,Stan McClain,Book Ban,,
GA HB104,Active,House Committee,"This bill directs public and private schools as well as colleges/universities to classify all interscholastic competitive sports teams as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by chromosomes, genitalia, and normally produced hormone levels. Students can sue the educational institution with claims they were harmed or lost some athletic opportunity as a result of a violation of this bill.",Georgia,https://legiscan.com/GA/bill/HB104/2025,1/28/2025,,"Brent Cox, Rick Jasperse, Carter Barrett, Charles Cannon, Chris Erwin",Sports,,
GA HB267,Active,Senate Committee,"This bill is an attempt to codify the definitions of ""male"" and ""female"" in the state's general statutes. It states that a person's sex is determined by their capacity to produce sperm or ova or their theoretical capacity to do so, and that sex is determined at birth and cannot be changed. The bill defines a ""female"" as someone with the reproductive organs to produce an egg and a ""male"" as someone with the reproductive organs to produce sperm  For any vital statistics collections such as those performed by government agencies and schools.  For any vital statistics collections such as those performed by government agencies and schools, every individual shall be recorded as either male or female at birth. This bill directs schools, universities, and athletic insitutions to classify all interscholastic competitive sports teams as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed."" It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. Students can sue the educational institution with claims they were harmed or lost some athletic opportunity as a result of a violation of this bill. If any section of this bill is declared illegal or invalid, all other sections of the bill will remain in effect. Regarding athletics, original birth certificates indicate sex. This bill prohibits students from entering bathrooms and changing rooms that do not correspond to their sex assigned at birth in public schools.",Georgia,https://legiscan.com/GA/bill/HB267/2025,2/28/2025,,"Josh Bonner, Jan Jones, Will Wade, Virginia Ehrhart, Sandy Donatucci, Todd Jones","Trans Erasure,Sports,Bathrooms,Student Suppression",,
GA SB30,Active,House Floor,"This bill amends the current law which bans treatment for minors with gender dysphoria. The amendments proposed add definitions to ""hormone-repalcement therapy"", ""puberty-blocking medication"" and ""sex reassignment surgery."". It defines ""sex"" as the biological state of being male or female, in the context of reproductive potential or capacity, based on an individual's sex organs, chromosomes,naturally occurring sex hormones, gonads, and internal and external genitalia present at birth, including secondary sex characteristics. It further repeals an exception to the law for the continued treatment of minors who were being treated with hormone therapy prior to July 1, 2023. ",Georgia,https://legiscan.com/GA/bill/SB30/2025,4/4/2025,,"Ben Watson, Steve Gooch, John Kennedy, Clint Dixon, Greg Dolezal, Bill Cowsert, Matt Brass, John Albers, Jason Anavitarte, Billy Hickman, Randy Robertson, Blake Tillery, ""Larry Walker, III"", Carden Summers, Mike Hodges, Brian Strickland, Lee Anderson, Russ Goodman, Shawn Still, Bo Hatchett, Drew Echols, Max Burns, Colton Moore, Rick Williams, Tim Bearden, Sam Watson, Chuck Payne, Frank Ginn, Brandon Beach, Chuck Hufstetler","Health Care,Other",,
GA SB39,Active,House Committee,"This bill would prohibit the use of Georgia state funds or the state employee health plan to cover gender-affirming care, such as hormone replacement therapy or surgeries. It would also ban state-run healthcare facilities and state-employed doctors from providing gender-affirming care. The bill would take effect immediately and would override any conflicting laws.",Georgia,https://legiscan.com/GA/bill/SB39/2025,2/12/2025,,"Blake Tillery, Carden Summers, Randy Robertson, Ben Watson, ""Larry Walker, III"", John Albers, Frank Ginn, Bill Cowsert, Steve Gooch, John Kennedy, Max Burns, Chuck Hufstetler, Bo Hatchett, Rick Williams, Chuck Payne, Drew Echols, Brandon Beach, Greg Dolezal, Sam Watson, Clint Dixon, Russ Goodman, Lee Anderson, Marty Harbin, Matt Brass, Brian Strickland, Tim Bearden, Freddie Powell Sims, Ed Harbison",Health Care,,
GA SB120,Active,Senate Committee,"This bill prohibits institutions of higher learning from holding diversity, equity, and inclusion (DEI) trainings or activities around gender identity, sexual orientation, race, color, or ethnicity. It also prohibits institutions of higher learning from maintaining a DEI office or hiring an employee or third party to perform the duties of a DEI office. This bill additionally requires that schools adhere to a series of tenets, primarily aimed around rejecting the concept of systemic racism, social justice,  and bigotry, including queer and transphobia.",Georgia,https://legiscan.com/GA/bill/SB120/2025,3/6/2025,,"Marty Harbin, Steve Gooch, Max Burns, John Albers, Frank Ginn, Billy Hickman, Carden Summers, Colton Moore, Sam Watson, Rick Williams, Tim Bearden, Jason Anavitarte, Chuck Payne, Matt Brass, Brandon Beach, Lee Anderson",Educational Censorship,,
GA SB248,Active,Senate Committee,"This bill establishes a council to oversee school library content, defining ""harmful to minors"" materials and requiring parental consent for certain materials. It mandates annual reviews of instructional materials and parental notification, with a formal complaint process for contested content. This bill reforms sex education, replacing the current curriculum with an abstinence-based model that bans discussions on gender identity and sexual orientation before 6th grade. Parents must additionally opt their children in to sex education in writing (instead of opting out). Additionally, schools must publish curricula and allow parents to withdraw consent at any time. This bill requires any public or private school employee to inform the legal guardians of a minor if that minor’s gender identity does not match their sex assigned at birth. It also mandates that school employees are not allowed to encourage any minor to keep their gender identity private rather than telling their legal guardians. This bill prohibits public school employees from using pronouns or names for students that differ from the student's ""biological sex"" unless the school or school board receives written permission from the student's parent. Public school teachers are never required to use a student's preferred pronoun. It also establishes guidelines for parental involvement in decisions regarding their child’s health, requiring schools to notify parents and provide consent forms for health services. The bill ensures these provisions apply statewide, including to charter and special schools. If any given section of this bill is found to be illegal, the rest of the bill remains in effect. This bill goes into effect immediately upon signing.",Georgia,https://legiscan.com/GA/bill/SB248/2025,2/26/2025,,"Clint Dixon, Jason Anavitarte, Marty Harbin, Chuck Payne, Billy Hickman","Book Ban,Educational Censorship,Student Suppression",,
HI HB207,Active,Introduced,"This bill directs public and private schools as well as colleges/universities to classify all interscholastic competitive sports teams as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by chromosomes, genitalia, and normally produced hormone levels. Students can sue the educational institution with claims they were harmed or lost some athletic opportunity as a result of a violation of this bill. If any section of this bill is declared illegal or invalid, all other sections of the bill will remain in effect. This bill goes into effect immediately upon signing.",Hawai'i,https://legiscan.com/HI/bill/HB207/2025,1/16/2025,,"Diamond Garcia, David Alcos, Garner Musashi Shimizu, Gene Ward",Sports,,
HI HB257,Active,House Committee,"This bill requires initial birth certificates to include a designation of the sex of the person born, based on the genitalia of the person. A birth certificate may be amended later based on the genitalia of the person as confirmed by a physician or physician assistant.",Hawai'i,https://legiscan.com/HI/bill/HB257/2025,1/21/2025,,"David Alcos, Diamond Garcia, Gene Ward",Documents,,
HI HB264,Active,House Committee,This bill would amend the considerations for what constitutes the best interest of the child in a custody or visitation hearing to not include whether a parent affirms their child's gender identity.,Hawai'i,https://legiscan.com/HI/bill/HB264/2025,1/21/2025,,"David Alcos, Diamond Garcia, Gene Ward",Other,,
HI HB268,Active,Introduced,"This bill directs the state department of education to classify all interscholastic competitive sports teams as being for ""males, men, or boys”, ""females, women, or girls”, or ""coed or mixed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. Within this bill “biological sex” is not defined.",Hawai'i,https://legiscan.com/HI/bill/HB268/2025,1/17/2025,,"David Alcos, Diamond Garcia, Gene Ward",Sports,,
ID H0179,Active,House Committee,"This bill is primarily about sex education in schools and requiring parental consent for that education. However, this amendment to the current law adds the term ""human sexuality"" whose definition includes ""gender identity, gender ideology, or gender conversion."" This means any conversations on those topics would mean parental consent for the child. This bill goes into effect July 1, 2025.",Idaho,https://legiscan.com/ID/bill/H0179/2025,2/11/2025,,Barbara Ehardt,Educational Censorship,,
ID H0190,Active,House Committee,"This bill prohibits people from entering bathrooms and changing rooms that do not correspond to their sex assigned at birth in correctional facilities, domestic violence
shelters, juvenile correctional centers, or state educational institutions. In this bill, ""sex"" is defined by reproductive role. A trans person can have a civil action brought against them for using the bathroom that corresponds to their gender identity under this bill. This bill goes into effect July 1, 2025.",Idaho,https://legiscan.com/ID/bill/H0190/2025,2/11/2025,,Barbara Ehardt,Bathrooms,,
ID H0292,Active,House Committee,"This bill amends Section 33-6001 of the Idaho Code to prohibit public school personnel from teaching or discussing gender and sexual orientation from kindergarten through grade 3, unless the instruction is deemed age-appropriate. This bill goes into effect immediately upon signing.",Idaho,https://legiscan.com/ID/bill/H0292/2025,2/21/2025,,"Dale Hawkins, Cindy Carlson",Educational Censorship,,
ID S1048,Active,Senate Committee,"This bill prohibits institutions of higher learning from holding diversity, equity, and inclusion (DEI) trainings or activities around gender identity, sexual orientation, race, color, or ethnicity. It also prohibits institutions of higher learning from maintaining a DEI office or hiring an employee or third party to perform the duties of a DEI office. Any student, staff member, or alumnus may bring a private cause of action to enforce the law. If any given section of this bill is found to be illegal, the rest of the bill remains in effect. This bill goes into effect July 1, 2025.",Idaho,https://legiscan.com/ID/bill/S1048/2025,2/3/2025,,"Ben Toews, Todd Lakey, Julie VanOrden","Educational Censorship,Student Suppression",,
ID S1123,Active,Senate Committee,"This bill prohibits institutions of higher learning from holding diversity, equity, and inclusion (DEI) trainings or activities around gender identity, sexual orientation, sex, religion, race, color, or national origin. The bill does have an exception for ""federal recognized American Indian tribes."" The bill explicitly prohibits student resource groups that serves students ""based on DEI ideology"", which likely would eliminate all LGBTQ+ groups. The bill sets up gradually increasing monetary penalties that schools will be required to pay if they violate this law. ",Idaho,https://legiscan.com/ID/bill/S1123/2025,2/25/2025,,,Educational Censorship,,
ID S1158,Active,Senate Committee,"This bill would require manufacturers of devices that can access the internet and are activated within the state to build in an automatic filter. This filter would allow parents to prevent their children from accessing “obscene material.” The definition for this term is broad but would apply to anything considered sexually explicit or of ""prurient interest"". This can and has historically been applied to queer media, especially trans and gender non-conforming media. Manufacturers who violate this can be sued by the attorney general.",Idaho,https://legiscan.com/ID/bill/S1158/2025,3/6/2025,,,Digital Censorship,,
IL HB1117,Active,Introduced,"This bill directs public, private, and charter schools to classify all interscholastic competitive sports teams as being for ""males”, ""females”, or ""coed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by genetics and reproductive biology determined at or before birth. At least once each school year and before being allowed to participate in sports, students—or their legal guardian if they're under 18—must sign a written statement verifying their “biological sex.” A school with “reasonable cause” to believe the student has misrepresented their sex can remove the student from a team.",Illinois,https://legiscan.com/IL/bill/HB1117/2025,2/26/2025,,"Regan Deering, Tony McCombie, Norine Hammond, Amy Grant, Amy Elik, Jackie Haas, C.D. Davidsmeyer, Charles E. Meier",Sports,,
IL HB1204,Active,Introduced,"This bill directs public, private, and charter schools to classify all interscholastic competitive sports teams as being for ""males”, ""females”, or ""coed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by genetics and reproductive biology determined at or before birth. At least once each school year and before being allowed to participate in sports, students—or their legal guardian if they're under 18—must sign a written statement verifying their “biological sex.” A school with “reasonable cause” to believe the student has misrepresented their sex can remove the student from a team.",Illinois,https://legiscan.com/IL/bill/HB1204/2025,2/13/2025,,"David Friess, Amy Grant",Sports,,
IL HB1209,Active,Introduced,"This bill is an attempt to codify the definitions of ""male"" and ""female"" in the state's general statutes. It states that a person's sex is determined by their capacity to produce sperm or ova or their theoretical capacity to do so, and that sex is determined at birth. The bill defines a ""female"" as someone with the reproductive organs to produce an egg and a ""male"" as someone with the reproductive organs developed to fertilize a female’s egg.",Illinois,https://legiscan.com/IL/bill/HB1209/2025,1/9/2025,,David Friess,Trans Erasure,,
IL HB1214,Active,Introduced,"This bill mandates that no health care professional be allowed to provide or prescribe treatments to patients under 18 for any transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill specifically allows an exception for ""corrective"" procedures for intersex traits. Violations shall result in the revocation of the physician’s license. The bill also requires “informed consent” for patients who are 18 years old or older and bans anyone other than a physician from providing trans health care. Failure to comply with any of the bill’s requirements would be grounds to deny, suspend, revoke, or refuse to renew a health care professional’s license or a hospital’s license. The bill provides for emergency rulemaking to implement it quickly. ",Illinois,https://legiscan.com/IL/bill/HB1214/2025,1/9/2025,,Adam Niemurg,Health Care,,
IL HB1216,Active,Introduced,"This bill directs public, private, and charter schools to classify all interscholastic competitive sports teams as being for ""males”, ""females”, or ""coed”. It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. According to this bill, “biological sex” is defined by genetics and reproductive biology determined at or before birth. At least once each school year and before being allowed to participate in sports, students—or their legal guardian if they're under 18—must sign a written statement verifying their “biological sex.” A school with “reasonable cause” to believe the student has misrepresented their sex can remove the student from a team.",Illinois,https://legiscan.com/IL/bill/HB1216/2025,1/9/2025,,Adam Niemurg,Sports,,
IL HB2915,Active,Introduced,"This bill bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls. It requires students to provide written verification of their age and biological sex once per school year. It prohibits any penalties to result from a school complying with this law. ",Illinois,https://legiscan.com/IL/bill/HB2915/2025,2/6/2025,,Joe Sosnowski,Sports,,
IL HB3666,Active,Introduced,"Requires all prescriptions for puberty blockers, for gender dysphoria or not, to be reported to the state in an anonymized and privacy-conscious manner to be used for ""statistical purposes only.""",Illinois,https://legiscan.com/IL/bill/HB3666/2025,2/18/2025,,Tom Weber,Health Care,,
IL HB3686,Active,Introduced,Makes puberty blockers a controlled substance on par with opiates.,Illinois,https://legiscan.com/IL/bill/HB3686/2025,2/18/2025,,Tom Weber,Health Care,,
IL HB3819,Active,House Committee,"This bill mandates that no health care professional shall be allowed to provide or prescribe treatments to patients under 18 for any transition-related care. This ban includes puberty blockers, surgeries, and hormone replacement therapy. The bill specifically allows an exception for ""corrective"" procedures for intersex traits. Violations are considered unprofessional conduct by a medical professional and subject to disciplinary action and possible lawsuits. This bill also requires transition-related care for people 18 or older to require a consent form to be completed by the patient. In addition, only physicians can administer transition-related care. ",Illinois,https://legiscan.com/IL/bill/HB3819/2025,2/18/2025,,Tom Weber,Health Care,,
IL HB4027,Active,House Committee,"It bans students whose ""biological sex"" is male from participating in sports teams designated for females, women, or girls at any school or athletic association's events. This bill attempts to codify the definitions of ""male"" and ""female"" in Illinois’ Interscholastic Athletic Organization Act. It states that a person's sex is determined by their capacity to produce sperm or ova or their theoretical capacity to do so. The bill defines a ""female"" as someone with the reproductive organs to produce an egg and a ""male"" as someone with the reproductive organs to produce sperm. According to the bill, “biological sex” may be verified via the athlete’s birth certificate if the sex on the birth certificate was “designated at or near the time of the participant’s birth.” Violations may result in private cause of action for injunctive relief, compensatory damages, and attorney's fees.",Illinois,https://legiscan.com/IL/bill/HB4027/2025,4/22/2025,,"Tom Weber, Blaine Wilhour, Regan Deering, Norine Hammond, Jackie Haas, Paul Jacobs, Kevin Schmidt, Tony McCombie, Dave Severin",Sports,,
IL HB4030,Active,House Committee,"This bill is an attempt to codify the definitions of ""male"" and ""female"" in the state's general statutes. It states that a person's sex is determined by their capacity to produce sperm or ova or their theoretical capacity to do so, and that sex is determined at birth and cannot be changed. The bill defines a ""female"" as someone with the reproductive organs to produce an egg and a ""male"" as someone with the reproductive organs to produce sperm.",Illinois,https://legiscan.com/IL/bill/HB4030/2025,4/7/2025,,"David Friess, Blaine Wilhour, Adam Niemurg, Jed Davis, Brad Halbrook, Chris Miller",Trans Erasure,,
